Source;Target;Weight;Type
1;32;1.0;undirected
1;69;1.0;undirected
1;76;2.0;undirected
2;100;6.0;undirected
2;136;1.0;undirected
2;186;1.0;undirected
2;233;2.0;undirected
2;254;1.0;undirected
3;33;3.0;undirected
3;85;1.0;undirected
3;98;1.0;undirected
4;255;2.0;undirected
6;284;1.0;undirected
6;308;1.0;undirected
7;271;2.0;undirected
10;12;4.0;undirected
11;105;1.0;undirected
11;231;2.0;undirected
12;10;4.0;undirected
12;128;2.0;undirected
13;44;2.0;undirected
13;50;2.0;undirected
13;121;1.0;undirected
14;21;4.0;undirected
14;67;1.0;undirected
14;104;1.0;undirected
14;114;2.0;undirected
14;339;1.0;undirected
16;17;6.0;undirected
16;21;4.0;undirected
16;32;1.0;undirected
16;79;1.0;undirected
16;84;5.0;undirected
16;112;1.0;undirected
16;277;1.0;undirected
16;286;1.0;undirected
17;16;6.0;undirected
17;21;3.0;undirected
17;84;2.0;undirected
17;112;1.0;undirected
17;272;4.0;undirected
17;277;1.0;undirected
18;19;5.0;undirected
18;36;5.0;undirected
18;57;5.0;undirected
18;196;2.0;undirected
19;18;5.0;undirected
19;36;2.0;undirected
19;57;8.0;undirected
19;120;2.0;undirected
19;196;2.0;undirected
20;208;1.0;undirected
20;263;1.0;undirected
20;288;1.0;undirected
20;367;7.0;undirected
21;14;4.0;undirected
21;16;4.0;undirected
21;17;3.0;undirected
21;67;1.0;undirected
21;75;1.0;undirected
21;84;3.0;undirected
21;104;1.0;undirected
21;112;1.0;undirected
21;113;1.0;undirected
21;277;1.0;undirected
21;283;1.0;undirected
21;339;1.0;undirected
22;28;4.0;undirected
22;47;3.0;undirected
22;141;1.0;undirected
22;264;1.0;undirected
22;353;1.0;undirected
23;41;1.0;undirected
23;47;1.0;undirected
23;72;2.0;undirected
23;76;1.0;undirected
23;120;1.0;undirected
23;267;1.0;undirected
23;294;1.0;undirected
25;119;1.0;undirected
25;121;1.0;undirected
27;34;1.0;undirected
27;95;2.0;undirected
27;99;2.0;undirected
28;22;4.0;undirected
28;47;3.0;undirected
28;141;1.0;undirected
29;79;2.0;undirected
29;230;2.0;undirected
30;102;1.0;undirected
30;124;1.0;undirected
31;82;1.0;undirected
32;1;1.0;undirected
32;16;1.0;undirected
33;3;3.0;undirected
33;79;1.0;undirected
33;85;5.0;undirected
33;102;2.0;undirected
33;272;1.0;undirected
34;27;1.0;undirected
34;95;2.0;undirected
35;69;1.0;undirected
35;79;1.0;undirected
36;18;5.0;undirected
36;19;2.0;undirected
36;57;2.0;undirected
36;196;3.0;undirected
37;68;7.0;undirected
37;90;2.0;undirected
37;226;1.0;undirected
38;48;1.0;undirected
41;23;1.0;undirected
41;89;1.0;undirected
41;267;8.0;undirected
41;274;5.0;undirected
41;276;2.0;undirected
43;64;1.0;undirected
43;69;1.0;undirected
44;13;2.0;undirected
44;50;4.0;undirected
44;88;2.0;undirected
44;90;3.0;undirected
44;117;1.0;undirected
44;234;1.0;undirected
47;22;3.0;undirected
47;23;1.0;undirected
47;28;3.0;undirected
47;63;1.0;undirected
47;67;1.0;undirected
47;107;1.0;undirected
47;117;1.0;undirected
47;127;2.0;undirected
47;141;1.0;undirected
47;276;1.0;undirected
47;294;1.0;undirected
48;38;1.0;undirected
49;129;2.0;undirected
50;13;2.0;undirected
50;44;4.0;undirected
50;88;2.0;undirected
50;90;2.0;undirected
52;63;2.0;undirected
52;67;1.0;undirected
52;120;3.0;undirected
52;276;2.0;undirected
56;71;1.0;undirected
56;238;1.0;undirected
57;18;5.0;undirected
57;19;8.0;undirected
57;36;2.0;undirected
57;120;2.0;undirected
57;196;2.0;undirected
59;94;2.0;undirected
61;69;4.0;undirected
61;74;5.0;undirected
61;83;1.0;undirected
61;102;1.0;undirected
61;162;1.0;undirected
61;181;1.0;undirected
61;230;3.0;undirected
62;83;1.0;undirected
62;101;3.0;undirected
63;47;1.0;undirected
63;52;2.0;undirected
63;107;1.0;undirected
63;120;2.0;undirected
63;125;1.0;undirected
63;276;8.0;undirected
63;294;4.0;undirected
64;43;1.0;undirected
64;69;3.0;undirected
64;84;1.0;undirected
